jaspar_matrix	jaspar_id	uniprot_id	gene_name
MA0814.2	TFAP2C(var.2)	Q92754	TFAP2C
MA0815.1	TFAP2C(var.3)	Q92754	TFAP2C
MA0816.1	Ascl2	O35885	Ascl2
MA0817.1	BHLHE23	Q8NDY6	BHLHE23
MA0818.1	BHLHE22	Q8NFJ8	BHLHE22
MA0819.1	CLOCK	O15516	CLOCK
MA0820.1	FIGLA	Q6QHK4	FIGLA
MA0821.1	HES5	Q5TA89	HES5
MA0822.1	HES7	Q9BYE0	HES7
MA0823.1	HEY1	Q9Y5J3	HEY1
MA0825.1	MNT	Q99583	MNT
MA0826.1	OLIG1	Q8TAK6	OLIG1
MA0827.1	OLIG3	Q7RTU3	OLIG3
MA0828.1	SREBF2(var.2)	Q12772	SREBF2
MA0829.2	SREBF1(var.2)	P36956	SREBF1
MA0830.2	TCF4	P15884	TCF4
MA0831.2	TFE3	P19532	TFE3
MA0832.1	Tcf21	O35437	Tcf21
MA0833.2	ATF4	P18848	ATF4
MA0834.1	ATF7	P17544	ATF7
MA0835.2	BATF3	Q9NR55	BATF3
MA0836.2	CEBPD	P49716	CEBPD
MA0837.1	CEBPE	Q15744	CEBPE
MA0838.1	CEBPG	P53567	CEBPG
MA0839.1	CREB3L1	Q96BA8	CREB3L1
MA0840.1	Creb5	Q8K1L0	Creb5
MA0841.1	NFE2	Q16621	NFE2
MA0842.2	NRL	P54845	NRL
MA0843.1	TEF	Q10587	TEF
MA0844.1	XBP1	P17861	XBP1
MA0845.1	FOXB1	Q99853	FOXB1
MA0846.1	FOXC2	Q99958	FOXC2
MA0847.2	FOXD2	O60548	FOXD2
MA0848.1	FOXO4	P98177	FOXO4
MA0849.1	FOXO6	A8MYZ6	FOXO6
MA0850.1	FOXP3	B7ZLG1	FOXP3
MA0851.1	Foxj3	Q8BUR3	Foxj3
MA0852.2	FOXK1	P85037	FOXK1
MA0853.1	Alx4	O35137	Alx4
MA0854.1	Alx1	Q8C8B0	Alx1
MA0855.1	RXRB	P28702	RXRB
MA0856.1	RXRG	P48443	RXRG
MA0857.1	Rarb	P22605	Rarb
MA0858.1	Rarb(var.2)	P22605	Rarb
MA0859.1	Rarg	P18911	Rarg
MA0860.1	Rarg(var.2)	P18911	Rarg
MA0861.1	TP73	O15350	TP73
MA0862.1	GMEB2	Q9UKD1	GMEB2
MA0863.1	MTF1	Q14872	MTF1
MA0864.2	E2F2	Q14209	E2F2
MA0865.1	E2F8	A0AVK6	E2F8
MA0866.1	SOX21	Q9Y651	SOX21
MA0867.2	SOX4	Q06945	SOX4
MA0868.2	SOX8	P57073	SOX8
MA0869.1	Sox11	Q7M6Y2	Sox11
MA0870.1	Sox1	P53783	Sox1
MA0871.2	TFEC	O14948	TFEC
MA0872.1	TFAP2A(var.3)	P05549	TFAP2A
MA0873.1	HOXD12	P35452	HOXD12
MA0874.1	Arx	O35085	Arx
MA0875.1	BARX1	Q9HBU1	BARX1
MA0876.1	BSX	Q3C1V8	BSX
MA0877.2	BARHL1	Q9BZE3	BARHL1
MA0878.2	CDX1	P47902	CDX1
MA0879.1	Dlx1	Q64317	Dlx1
MA0880.1	Dlx3	Q64205	Dlx3
MA0881.1	Dlx4	P70436	Dlx4
MA0882.1	DLX6	P56179	DLX6
MA0883.1	Dmbx1	Q91ZK4	Dmbx1
MA0884.1	DUXA	A6NLW8	DUXA
MA0885.1	Dlx2	P40764	Dlx2
MA0886.1	EMX2	Q04743	EMX2
MA0887.1	EVX1	P49640	EVX1
MA0888.1	EVX2	Q03828	EVX2
MA0889.1	GBX1	Q14549	GBX1
MA0890.1	GBX2	P52951	GBX2
MA0891.1	GSC2	O15499	GSC2
MA0892.1	GSX1	A4IFQ3	GSX1
MA0893.2	GSX2	Q9BZM3	GSX2
MA0894.1	HESX1	Q9UBX0	HESX1
MA0895.1	HMBOX1	Q6NT76	HMBOX1
MA0896.1	Hmx1	O70218	Hmx1
MA0897.1	Hmx2	P43687	Hmx2
MA0898.1	Hmx3	P42581	Hmx3
MA0899.1	HOXA10	P31260	HOXA10
MA0900.2	HOXA2	O43364	HOXA2
MA0901.2	HOXB13	Q92826	HOXB13
MA0902.2	HOXB2	P14652	HOXB2
MA0903.1	HOXB3	P14651	HOXB3
MA0904.2	HOXB5	P09067	HOXB5
MA0905.1	HOXC10	Q9NYD6	HOXC10
MA0906.1	HOXC12	P31275	HOXC12
MA0907.1	HOXC13	P31276	HOXC13
MA0908.1	HOXD11	P31277	HOXD11
MA0909.2	HOXD13	P35453	HOXD13
MA0910.2	HOXD8	P13378	HOXD8
MA0911.1	Hoxa11	P31270	HOXA11
MA0912.2	HOXD3	P31249	HOXD3
MA0913.2	HOXD9	P28356	HOXD9
MA0914.1	ISL2	Q96A47	ISL2
MA1099.2	HES1	Q14469	HES1
MA1100.2	ASCL1	P50553	ASCL1
MA1101.2	BACH2	Q9BYV9	BACH2
MA1102.2	CTCFL	Q8NI51	CTCFL
MA1103.2	FOXK2	Q01167	FOXK2
MA1104.2	GATA6	Q92908	GATA6
MA1105.2	GRHL2	Q6ISB3	GRHL2
MA1106.1	HIF1A	Q16665	HIF1A
MA1107.2	KLF9	Q13886	KLF9
MA1108.2	MXI1	P50539	MXI1
MA1109.1	NEUROD1	Q13562	NEUROD1
MA1110.1	NR1H4	Q96RI1	NR1H4
MA1111.1	NR2F2	P24468	NR2F2
MA1112.2	NR4A1	P22736	NR4A1
MA1113.2	PBX2	P40425	PBX2
MA1114.1	PBX3	P40426	PBX3
MA1115.1	POU5F1	Q01860	POU5F1
MA1116.1	RBPJ	Q06330	RBPJ
